months,ICO Composite Indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
03/2017,2.959602649,3.496688742,3.535320088,3.083222958,2.35607064
04/2017,2.878366446,3.420971302,3.430463576,3.00419426,2.286534216
05/2017,2.768211921,3.342384106,3.311258278,2.896467991,2.171302428
06/2017,2.701766004,3.225607064,3.161589404,2.730905077,2.250551876
07/2017,2.809271523,3.366666667,3.303752759,2.85187638,2.316556291
08/2017,2.830905077,3.424944812,3.308609272,2.912362031,2.307284768
09/2017,2.747461369,3.343708609,3.235320088,2.862472406,2.189403974
10/2017,2.649227373,3.184547461,3.106181015,2.749448124,2.17196468
11/2017,2.588520971,3.180794702,3.110375276,2.743487859,2.01611479
12/2017,2.516556291,3.126269316,3.033554084,2.681456954,1.933554084
01/2018,2.55187638,3.173730684,3.064238411,2.730022075,1.956953642
02/2018,2.520750552,3.123620309,3.008388521,2.667328918,1.969977925
03/2018,2.494260486,3.078366446,2.980794702,2.644591611,1.946578366
04/2018,2.484768212,3.074834437,2.965562914,2.621633554,1.949448124
05/2018,2.501986755,3.096247241,2.993598234,2.639514349,1.958940397
06/2018,2.437969095,3.058498896,2.958719647,2.540838852,1.9
07/2018,2.366445916,2.956291391,2.883002208,2.4401766,1.863576159
08/2018,2.260706402,2.869536424,2.76401766,2.305960265,1.782339956
09/2018,2.167108168,2.775717439,2.675055188,2.204635762,1.693156733
10/2018,2.454966887,3.108830022,3.031788079,2.551655629,1.883443709
11/2018,2.419205298,3.074392936,3.026710817,2.500441501,1.843708609
12/2018,2.220971302,2.822516556,2.805739514,2.253863135,1.712362031
